x, y, z
2.0494439e-01, -1.0842022e-19, -1.9345601e-02
2.0617941e-01,  0.0000000e+00,  2.0606182e-02
2.8326435e-01,  1.0842022e-19,  2.0519953e-02
2.6265072e-01, -1.0842022e-19, -2.7105499e-02
1.9924651e-01,  0.0000000e+00, -1.3304248e-02
2.1162322e-01,  0.0000000e+00,  2.5986997e-02
2.9552520e-01,  0.0000000e+00,  1.5193656e-02
2.5028044e-01,  3.3881318e-21, -2.9256688e-02
1.9743460e-01,  0.0000000e+00, -8.2525208e-03
2.1844838e-01,  0.0000000e+00,  2.8591092e-02
3.0292336e-01,  0.0000000e+00,  7.7561260e-03
2.3622686e-01,  0.0000000e+00, -2.9590351e-02
1.9788225e-01,  0.0000000e+00, -9.8231663e-04
2.3237252e-01,  0.0000000e+00,  2.9554555e-02
3.0423993e-01,  1.0842022e-19, -5.1224584e-03
2.2090038e-01,  0.0000000e+00, -2.8987792e-02
1.9738408e-01, -1.3552527e-20,  6.8326383e-03
2.4735024e-01,  2.1684043e-19,  2.9482195e-02
2.9761035e-01,  0.0000000e+00, -1.3821554e-02
2.1294253e-01, -3.3881318e-21, -2.6865934e-02
1.9840070e-01,  0.0000000e+00,  1.2042502e-02
2.5910018e-01, -6.7762636e-21,  2.7956975e-02
2.8731105e-01,  0.0000000e+00, -1.9049951e-02
2.0771844e-01,  0.0000000e+00, -2.2344051e-02
2.0307996e-01,  1.3552527e-20,  1.7590361e-02
2.7509545e-01,  0.0000000e+00,  2.3440015e-02
2.7028289e-01,  0.0000000e+00, -2.5013399e-02
2.0139945e-01,  0.0000000e+00, -1.5962710e-02
2.0908135e-01, -1.0842022e-19,  2.3867161e-02
2.9065468e-01,  1.6940659e-21,  1.7740110e-02
2.5604350e-01,  0.0000000e+00, -2.8581968e-02
1.9781583e-01, -5.4210109e-20, -1.0884680e-02
2.1432299e-01,  0.0000000e+00,  2.7560102e-02
2.9941817e-01, -2.7105054e-20,  1.2340325e-02
2.4434526e-01,  0.0000000e+00, -2.9617935e-02
1.9743886e-01,  0.0000000e+00, -5.3092066e-03
2.2370984e-01,  0.0000000e+00,  2.9286827e-02
3.0509275e-01, -1.0842022e-19,  2.2709703e-03
2.2872126e-01,  0.0000000e+00, -2.9507002e-02
1.9772350e-01,  0.0000000e+00,  2.7888248e-03
2.3963233e-01, -1.3552527e-20,  2.9630924e-02
3.0159010e-01,  0.0000000e+00, -9.8124066e-03
2.1659513e-01,  0.0000000e+00, -2.8220680e-02
1.9750568e-01,  5.4210109e-20,  9.3656352e-03
2.5260738e-01, -1.0842022e-19,  2.9043542e-02
2.9374368e-01,  0.0000000e+00, -1.6238190e-02
2.1060030e-01,  0.0000000e+00, -2.5232036e-02
1.9998291e-01, -2.7105054e-20,  1.4317337e-02
2.6551224e-01,  0.0000000e+00,  2.6374595e-02
2.8011886e-01,  0.0000000e+00, -2.1659204e-02
2.0497845e-01, -5.4210109e-20, -1.9378932e-02
2.0614820e-01,  0.0000000e+00,  2.0572897e-02
2.8318193e-01,  5.4210109e-20,  2.0549658e-02
2.6272363e-01,  0.0000000e+00, -2.7087375e-02
1.9926501e-01, -6.7762636e-21, -1.3330247e-02
2.1159634e-01,  0.0000000e+00,  2.5968222e-02
2.9548077e-01,  2.7105054e-20,  1.5221289e-02
2.5034071e-01,  0.0000000e+00, -2.9251685e-02
1.9743598e-01, -2.7105054e-20, -8.2818382e-03
2.1839850e-01,  5.4210109e-20,  2.8582136e-02
3.0289114e-01,  0.0000000e+00,  7.8109338e-03
2.3631248e-01,  0.0000000e+00, -2.9591469e-02
1.9787988e-01,  1.3552527e-20, -1.0273108e-03
2.3228242e-01, -1.0842022e-19,  2.9553881e-02
3.0426661e-01,  0.0000000e+00, -5.0562758e-03
2.2096370e-01,  0.0000000e+00, -2.8996576e-02
1.9738365e-01,  1.0842022e-19,  6.7969002e-03
2.4727712e-01,  0.0000000e+00,  2.9487035e-02
2.9765989e-01, -1.3552527e-20, -1.3786517e-02
2.1297555e-01,  1.0842022e-19, -2.6886195e-02
1.9838154e-01,  1.0842022e-19,  1.2011892e-02
2.5901488e-01,  0.0000000e+00,  2.7976316e-02
2.8740826e-01,  0.0000000e+00, -1.9014027e-02
2.0775591e-01,  0.0000000e+00, -2.2387647e-02
2.0303205e-01,  0.0000000e+00,  1.7545456e-02
