x, y, z
2.5920589e-01, -2.7105054e-20,  2.7934169e-02
2.8719394e-01,  0.0000000e+00, -1.9094545e-02
2.0767156e-01,  0.0000000e+00, -2.2292579e-02
2.0313549e-01, -1.0842022e-19,  1.7644184e-02
2.7524989e-01,  0.0000000e+00,  2.3387832e-02
2.7013518e-01,  0.0000000e+00, -2.5059778e-02
2.0135054e-01, -3.3881318e-21, -1.5913494e-02
2.0912221e-01,  0.0000000e+00,  2.3911645e-02
2.9074986e-01,  0.0000000e+00,  1.7700778e-02
2.5595307e-01,  6.7762636e-21, -2.8598891e-02
1.9780089e-01, -2.7105054e-20, -1.0849343e-02
2.1436725e-01,  0.0000000e+00,  2.7579704e-02
2.9947104e-01,  0.0000000e+00,  1.2291880e-02
2.4425041e-01,  0.0000000e+00, -2.9621155e-02
1.9744155e-01,  0.0000000e+00, -5.2604620e-03
2.2380188e-01,  1.3552527e-20,  2.9294695e-02
3.0511071e-01,  0.0000000e+00,  2.1813888e-03
2.2861418e-01,  0.0000000e+00, -2.9505475e-02
1.9771645e-01, -1.0842022e-19,  2.8409556e-03
2.3972783e-01,  1.0842022e-19,  2.9632756e-02
3.0155255e-01,  2.7105054e-20, -9.8666899e-03
2.1654708e-01,  0.0000000e+00, -2.8211436e-02
1.9750627e-01,  0.0000000e+00,  9.3938967e-03
2.5266404e-01, -1.0842022e-19,  2.9039160e-02
2.9370257e-01,  0.0000000e+00, -1.6263052e-02
2.1057572e-01,  1.0842022e-19, -2.5215844e-02
1.9999774e-01, -1.0842022e-19,  1.4339702e-02
2.6557248e-01,  0.0000000e+00,  2.6359907e-02
2.8005717e-01,  0.0000000e+00, -2.1682733e-02
2.0495372e-01,  0.0000000e+00, -1.9356788e-02
2.0616742e-01,  0.0000000e+00,  2.0595916e-02
2.8323606e-01,  0.0000000e+00,  2.0531417e-02
2.6267868e-01,  0.0000000e+00, -2.7099918e-02
1.9925169e-01,  1.0842022e-19, -1.3315712e-02
2.1160840e-01,  1.0842022e-19,  2.5980006e-02
2.9550514e-01,  2.7105054e-20,  1.5209056e-02
2.5031453e-01,  0.0000000e+00, -2.9255478e-02
1.9743325e-01,  3.3881318e-21, -8.2709183e-03
2.1841440e-01,  0.0000000e+00,  2.8586687e-02
3.0290354e-01, -5.4210109e-20,  7.7939681e-03
2.3628606e-01, -1.0842022e-19, -2.9592213e-02
1.9787874e-01,  0.0000000e+00, -1.0146303e-03
2.3230562e-01,  1.0842022e-19,  2.9555079e-02
3.0426182e-01,  0.0000000e+00, -5.0732763e-03
2.2094760e-01, -1.0842022e-19, -2.8995755e-02
1.9738121e-01,  0.0000000e+00,  6.8046085e-03
2.4728990e-01, -5.4210109e-20,  2.9487525e-02
2.9765560e-01,  0.0000000e+00, -1.3792366e-02
2.1297023e-01,  0.0000000e+00, -2.6885630e-02
1.9838043e-01,  1.0842022e-19,  1.2014418e-02
2.5901831e-01,  0.0000000e+00,  2.7976715e-02
2.8740761e-01,  0.0000000e+00, -1.9015407e-02
2.0775437e-01, -1.0842022e-19, -2.2388285e-02
2.0303021e-01,  1.0842022e-19,  1.7545553e-02
2.7496233e-01,  0.0000000e+00,  2.3486449e-02
2.7041457e-01,  0.0000000e+00, -2.4973721e-02
2.0144155e-01,  0.0000000e+00, -1.6007867e-02
2.0904101e-01,  0.0000000e+00,  2.3827622e-02
2.9056515e-01,  0.0000000e+00,  1.7779366e-02
2.5613398e-01,  5.4210109e-20, -2.8567329e-02
1.9782784e-01,  0.0000000e+00, -1.0922840e-02
2.1426956e-01,  0.0000000e+00,  2.7541050e-02
2.9935915e-01,  0.0000000e+00,  1.2398586e-02
2.4446064e-01,  0.0000000e+00, -2.9616208e-02
1.9743208e-01,  0.0000000e+00, -5.3708294e-03
2.2358996e-01,  0.0000000e+00,  2.9278539e-02
3.0507243e-01,  0.0000000e+00,  2.3887819e-03
2.2886324e-01,  0.0000000e+00, -2.9510854e-02
1.9772999e-01, -2.7105054e-20,  2.7177988e-03
2.3949779e-01,  0.0000000e+00,  2.9630624e-02
3.0164749e-01,  0.0000000e+00, -9.7352274e-03
2.1666482e-01, -1.0842022e-19, -2.8237939e-02
1.9749925e-01,  0.0000000e+00,  9.3212017e-03
2.5250916e-01,  0.0000000e+00,  2.9055093e-02
2.9382629e-01,  0.0000000e+00, -1.6194598e-02
2.1064351e-01,  0.0000000e+00, -2.5268996e-02
1.9994507e-01,  0.0000000e+00,  1.4270838e-02
2.6537711e-01, -2.1684043e-19,  2.6411609e-02
2.8026860e-01,  0.0000000e+00, -2.1606304e-02
2.0503448e-01,  0.0000000e+00, -1.9436047e-02
2.0609315e-01,  5.4210109e-20,  2.0516731e-02
2.8304104e-01,  0.0000000e+00,  2.0602060e-02
2.6285332e-01,  0.0000000e+00, -2.7056553e-02
1.9929489e-01,  1.0842022e-19, -1.3377628e-02
2.1154483e-01, -1.0842022e-19,  2.5935192e-02
2.9539856e-01,  0.0000000e+00,  1.5274524e-02
2.5045829e-01,  0.0000000e+00, -2.9243417e-02
1.9743637e-01, -3.3881318e-21, -8.3402985e-03
2.1829705e-01,  0.0000000e+00,  2.8565264e-02
3.0282743e-01,  0.0000000e+00,  7.9233960e-03
2.3648997e-01,  0.0000000e+00, -2.9594767e-02
1.9787244e-01,  2.7105054e-20, -1.1213634e-03
2.3209104e-01,  0.0000000e+00,  2.9553407e-02
3.0432518e-01, -5.4210109e-20, -4.9155299e-03
2.2109820e-01,  0.0000000e+00, -2.9016327e-02
1.9738056e-01,  0.0000000e+00,  6.7196218e-03
2.4711760e-01,  6.7762636e-21,  2.9498604e-02
2.9776978e-01,  2.7105054e-20, -1.3709221e-02
2.1304910e-01,  0.0000000e+00, -2.6932824e-02
1.9833664e-01,  5.4210109e-20,  1.1942410e-02
2.5881957e-01,  0.0000000e+00,  2.8021556e-02
2.8763432e-01,  0.0000000e+00, -1.8931183e-02
2.0784282e-01, -1.0842022e-19, -2.2490165e-02
2.0291754e-01,  0.0000000e+00,  1.7440231e-02
2.7465427e-01,  0.0000000e+00,  2.3591667e-02
2.7071523e-01,  0.0000000e+00, -2.4880413e-02
2.0154042e-01, -2.7105054e-20, -1.6109298e-02
2.0895430e-01,  0.0000000e+00,  2.3736687e-02
2.9036583e-01,  5.4210109e-20,  1.7863243e-02
2.5632805e-01,  0.0000000e+00, -2.8532774e-02
1.9785768e-01,  2.7105054e-20, -1.1000639e-02
2.1416772e-01,  5.4210109e-20,  2.7499344e-02
2.9924024e-01,  0.0000000e+00,  1.2509723e-02
2.4468101e-01,  0.0000000e+00, -2.9610441e-02
1.9742303e-01,  0.0000000e+00, -5.4858656e-03
2.2337006e-01,  5.4210109e-20,  2.9260945e-02
3.0502832e-01,  1.0842022e-19,  2.6052449e-03
2.2912558e-01,  5.4210109e-20, -2.9516161e-02
1.9774378e-01,  0.0000000e+00,  2.5880981e-03
2.3925540e-01,  1.0842022e-19,  2.9628283e-02
3.0174699e-01,  0.0000000e+00, -9.5955627e-03
2.1678959e-01,  0.0000000e+00, -2.8265735e-02
1.9749213e-01, -2.7105054e-20,  9.2441995e-03
2.5234616e-01, -1.0842022e-19,  2.9071675e-02
2.9395692e-01,  1.0842022e-19, -1.6122083e-02
2.1071517e-01,  0.0000000e+00, -2.5324834e-02
1.9988981e-01,  1.0842022e-19,  1.4198190e-02
2.6517037e-01, -2.7105054e-20,  2.6465966e-02
2.8049247e-01,  0.0000000e+00, -2.1525428e-02
2.0512001e-01, -5.4210109e-20, -1.9520450e-02
2.0601352e-01,  0.0000000e+00,  2.0432437e-02
2.8283224e-01,  0.0000000e+00,  2.0677827e-02
2.6304112e-01,  0.0000000e+00, -2.7009869e-02
1.9934151e-01,  0.0000000e+00, -1.3444294e-02
2.1147632e-01, -1.0842022e-19,  2.5886856e-02
2.9528402e-01,  0.0000000e+00,  1.5345010e-02
2.5061360e-01,  1.0842022e-19, -2.9230383e-02
1.9743961e-01, -6.7762636e-21, -8.4152856e-03
2.1816939e-01, -1.0842022e-19,  2.8542049e-02
3.0274428e-01,  0.0000000e+00,  8.0634589e-03
2.3671247e-01,  0.0000000e+00, -2.9597643e-02
1.9786453e-01,  0.0000000e+00, -1.2380514e-03
2.3185637e-01,  0.0000000e+00,  2.9551531e-02
3.0439334e-01,  0.0000000e+00, -4.7413120e-03
2.2126560e-01,  0.0000000e+00, -2.9038541e-02
1.9738028e-01,  0.0000000e+00,  6.6257885e-03
2.4692706e-01,  1.0842022e-19,  2.9510484e-02
