x, y, z
2.2081070e-01,  0.0000000e+00, -2.8976280e-02
1.9738281e-01, -5.4210109e-20,  6.8823530e-03
2.4744919e-01,  0.0000000e+00,  2.9476585e-02
2.9754660e-01,  0.0000000e+00, -1.3868964e-02
2.1289725e-01,  0.0000000e+00, -2.6840558e-02
1.9842334e-01,  0.0000000e+00,  1.2082111e-02
2.5920730e-01,  0.0000000e+00,  2.7933397e-02
2.8719136e-01,  0.0000000e+00, -1.9095205e-02
2.0767117e-01,  2.7105054e-20, -2.2290904e-02
2.0313757e-01,  0.0000000e+00,  1.7645618e-02
2.7525494e-01, -2.7105054e-20,  2.3385838e-02
2.7012940e-01,  0.0000000e+00, -2.5061166e-02
2.0134864e-01,  0.0000000e+00, -1.5911408e-02
2.0912488e-01,  0.0000000e+00,  2.3913238e-02
2.9075403e-01,  1.0842022e-19,  1.7698425e-02
2.5594709e-01,  0.0000000e+00, -2.8599424e-02
1.9780069e-01,  1.0842022e-19, -1.0846596e-02
2.1437154e-01, -5.4210109e-20,  2.7580798e-02
2.9947599e-01, -1.0842022e-19,  1.2286801e-02
2.4423972e-01,  0.0000000e+00, -2.9621040e-02
1.9744283e-01, -1.0842022e-19, -5.2547503e-03
2.2381328e-01,  0.0000000e+00,  2.9295253e-02
3.0511164e-01,  0.0000000e+00,  2.1700113e-03
2.2860015e-01,  0.0000000e+00, -2.9504906e-02
1.9771575e-01, -5.4210109e-20,  2.8480089e-03
2.3974123e-01, -1.0842022e-19,  2.9632574e-02
3.0154600e-01,  0.0000000e+00, -9.8745957e-03
2.1653977e-01,  0.0000000e+00, -2.8209239e-02
1.9750740e-01,  0.0000000e+00,  9.3988913e-03
2.5267562e-01,  0.0000000e+00,  2.9037439e-02
2.9369130e-01, -1.0842022e-19, -1.6268356e-02
2.1057036e-01, -5.4210109e-20, -2.5210637e-02
2.0000286e-01,  0.0000000e+00,  1.4345997e-02
2.6559133e-01, -5.4210109e-20,  2.6354466e-02
2.8003598e-01,  0.0000000e+00, -2.1690091e-02
2.0494579e-01,  0.0000000e+00, -1.9348432e-02
2.0617597e-01,  0.0000000e+00,  2.0603946e-02
2.8325705e-01,  0.0000000e+00,  2.0523478e-02
2.6265941e-01,  1.3552527e-20, -2.7104290e-02
1.9924708e-01,  5.4210109e-20, -1.3308316e-02
2.1161690e-01,  0.0000000e+00,  2.5984952e-02
2.9551818e-01, -1.0842022e-19,  1.5200137e-02
2.5029486e-01,  0.0000000e+00, -2.9256586e-02
1.9743313e-01,  0.0000000e+00, -8.2608032e-03
2.1843271e-01,  0.0000000e+00,  2.8589374e-02
3.0291522e-01,  0.0000000e+00,  7.7738948e-03
2.3625459e-01,  0.0000000e+00, -2.9591456e-02
1.9787986e-01,  5.4210109e-20, -9.9774519e-04
2.3233999e-01,  0.0000000e+00,  2.9555015e-02
3.0425149e-01,  2.1684043e-19, -5.0986597e-03
2.2092306e-01,  0.0000000e+00, -2.8991941e-02
1.9738201e-01,  0.0000000e+00,  6.8188025e-03
2.4732012e-01,  1.3552527e-20,  2.9485100e-02
2.9763353e-01, -1.0842022e-19, -1.3806835e-02
2.1295639e-01,  0.0000000e+00, -2.6876392e-02
1.9839006e-01,  0.0000000e+00,  1.2027854e-02
2.5905699e-01,  0.0000000e+00,  2.7967580e-02
2.8736249e-01, -5.4210109e-20, -1.9031717e-02
2.0773730e-01,  0.0000000e+00, -2.2367759e-02
2.0305276e-01, -5.4210109e-20,  1.7566510e-02
2.7502426e-01, -5.4210109e-20,  2.3464994e-02
2.7035359e-01, -1.0842022e-19, -2.4992223e-02
