x, y, z
2.1654014e-01,  0.0000000e+00, -2.8208180e-02
1.9750943e-01, -1.0842022e-19,  9.3997980e-03
2.5267975e-01,  1.0842022e-19,  2.9036121e-02
2.9368574e-01,  0.0000000e+00, -1.6270300e-02
2.1056814e-01,  0.0000000e+00, -2.5207255e-02
2.0000740e-01,  1.0842022e-19,  1.4349533e-02
2.6560348e-01,  0.0000000e+00,  2.6350505e-02
2.8002055e-01,  0.0000000e+00, -2.1694813e-02
2.0494123e-01, -1.0842022e-19, -1.9342187e-02
2.0618281e-01,  0.0000000e+00,  2.0609568e-02
2.8327205e-01,  0.0000000e+00,  2.0517124e-02
2.6264339e-01,  0.0000000e+00, -2.7107376e-02
1.9924451e-01,  0.0000000e+00, -1.3301885e-02
2.1162503e-01, -1.0842022e-19,  2.5988866e-02
2.9552963e-01,  2.7105054e-20,  1.5191425e-02
2.5027524e-01, -1.0842022e-19, -2.9257258e-02
1.9743441e-01,  0.0000000e+00, -8.2503486e-03
2.1845217e-01,  0.0000000e+00,  2.8591831e-02
3.0292540e-01,  0.0000000e+00,  7.7523937e-03
2.3622055e-01,  0.0000000e+00, -2.9590400e-02
1.9788195e-01,  1.0842022e-19, -9.7937772e-04
2.3237809e-01,  0.0000000e+00,  2.9554704e-02
3.0423785e-01, -5.4210109e-20, -5.1266272e-03
2.2089623e-01,  0.0000000e+00, -2.8987389e-02
1.9738348e-01,  0.0000000e+00,  6.8347709e-03
2.4735408e-01,  0.0000000e+00,  2.9482060e-02
2.9760879e-01,  0.0000000e+00, -1.3823462e-02
2.1294020e-01,  0.0000000e+00, -2.6865138e-02
1.9840119e-01,  0.0000000e+00,  1.2043952e-02
2.5910345e-01,  0.0000000e+00,  2.7956268e-02
2.8730731e-01, -1.0842022e-19, -1.9051489e-02
2.0771651e-01,  0.0000000e+00, -2.2342430e-02
2.0308139e-01,  0.0000000e+00,  1.7592177e-02
2.7510047e-01,  0.0000000e+00,  2.3438382e-02
2.7027815e-01, -5.4210109e-20, -2.5014922e-02
2.0139791e-01, -1.0842022e-19, -1.5961186e-02
2.0908300e-01, -6.7762636e-21,  2.3868519e-02
2.9065685e-01,  5.4210109e-20,  1.7739012e-02
2.5604046e-01, -5.4210109e-20, -2.8582531e-02
1.9781564e-01, -1.0842022e-19, -1.0883747e-02
2.1432341e-01,  0.0000000e+00,  2.7560731e-02
2.9941903e-01,  0.0000000e+00,  1.2339267e-02
2.4434288e-01,  0.0000000e+00, -2.9618086e-02
1.9743943e-01,  0.0000000e+00, -5.3081976e-03
2.2371151e-01,  0.0000000e+00,  2.9287056e-02
3.0509299e-01,  0.0000000e+00,  2.2692718e-03
2.2871899e-01,  1.0842022e-19, -2.9507041e-02
1.9772323e-01,  0.0000000e+00,  2.7897512e-03
2.3963363e-01,  0.0000000e+00,  2.9631040e-02
3.0158875e-01,  0.0000000e+00, -9.8132996e-03
2.1659435e-01,  0.0000000e+00, -2.8220657e-02
1.9750573e-01,  1.0842022e-19,  9.3659598e-03
2.5260755e-01,  0.0000000e+00,  2.9043628e-02
2.9374318e-01,  0.0000000e+00, -1.6238371e-02
2.1059983e-01,  0.0000000e+00, -2.5232202e-02
1.9998239e-01, -1.0842022e-19,  1.4317303e-02
2.6551197e-01,  0.0000000e+00,  2.6374808e-02
2.8011991e-01,  0.0000000e+00, -2.1659021e-02
2.0497889e-01,  1.0842022e-19, -1.9379266e-02
2.0614830e-01,  0.0000000e+00,  2.0572552e-02
2.8318146e-01, -1.0842022e-19,  2.0550087e-02
2.6272506e-01,  0.0000000e+00, -2.7087206e-02
1.9926455e-01,  0.0000000e+00, -1.3330799e-02
2.1159531e-01,  5.4210109e-20,  2.5967996e-02
2.9547971e-01,  0.0000000e+00,  1.5222103e-02
2.5034271e-01,  0.0000000e+00, -2.9251663e-02
1.9743562e-01,  0.0000000e+00, -8.2828784e-03
2.1839666e-01,  1.0842022e-19,  2.8581904e-02
3.0289019e-01,  1.0842022e-19,  7.8131398e-03
2.3631614e-01,  2.7105054e-20, -2.9591599e-02
1.9787909e-01,  0.0000000e+00, -1.0292301e-03
2.3227801e-01, -5.4210109e-20,  2.9553959e-02
3.0426809e-01,  1.0842022e-19, -5.0533089e-03
2.2096622e-01,  0.0000000e+00, -2.8997115e-02
1.9738293e-01,  0.0000000e+00,  6.7952016e-03
2.4727385e-01,  0.0000000e+00,  2.9487368e-02
2.9766208e-01,  1.0842022e-19, -1.3784697e-02
2.1297716e-01,  0.0000000e+00, -2.6887488e-02
1.9838055e-01,  1.3552527e-20,  1.2010061e-02
2.5901004e-01,  0.0000000e+00,  2.7977591e-02
2.8741457e-01,  0.0000000e+00, -1.9011786e-02
2.0775805e-01,  0.0000000e+00, -2.2390585e-02
2.0302813e-01,  5.4210109e-20,  1.7542563e-02
2.7495587e-01,  0.0000000e+00,  2.3488051e-02
2.7041908e-01,  0.0000000e+00, -2.4971442e-02
2.0144389e-01, -1.0842022e-19, -1.6008867e-02
2.0904204e-01,  0.0000000e+00,  2.3826027e-02
2.9056404e-01,  0.0000000e+00,  1.7778712e-02
2.5613262e-01,  0.0000000e+00, -2.8566527e-02
1.9782897e-01,  0.0000000e+00, -1.0920923e-02
2.1427444e-01,  0.0000000e+00,  2.7541123e-02
2.9936338e-01,  0.0000000e+00,  1.2393146e-02
2.4444954e-01,  5.4210109e-20, -2.9615564e-02
1.9743477e-01,  0.0000000e+00, -5.3640018e-03
2.2360441e-01,  0.0000000e+00,  2.9278841e-02
3.0507314e-01,  0.0000000e+00,  2.3742504e-03
2.2884540e-01,  0.0000000e+00, -2.9509762e-02
1.9773012e-01, -1.0842022e-19,  2.7272771e-03
2.3951707e-01, -5.4210109e-20,  2.9629979e-02
3.0163769e-01,  0.0000000e+00, -9.7464562e-03
2.1665406e-01, -5.4210109e-20, -2.8234197e-02
1.9750188e-01,  0.0000000e+00,  9.3289494e-03
2.5252906e-01,  0.0000000e+00,  2.9051792e-02
2.9380747e-01, -6.7762636e-21, -1.6203405e-02
