x, y, z
2.9754716e-01,  0.0000000e+00, -1.3868739e-02
2.1289751e-01,  0.0000000e+00, -2.6840866e-02
1.9842302e-01,  0.0000000e+00,  1.2081750e-02
2.5920606e-01,  0.0000000e+00,  2.7933755e-02
2.8719306e-01,  1.3552527e-20, -1.9094676e-02
2.0767177e-01,  0.0000000e+00, -2.2291674e-02
2.0313668e-01,  0.0000000e+00,  1.7644861e-02
2.7525268e-01,  0.0000000e+00,  2.3386680e-02
2.7013171e-01, -1.0842022e-19, -2.5060493e-02
2.0134937e-01, -1.0842022e-19, -1.5912268e-02
2.0912397e-01, -1.0842022e-19,  2.3912538e-02
2.9075226e-01, -1.0842022e-19,  1.7699242e-02
2.5594895e-01, -1.0842022e-19, -2.8599173e-02
1.9780075e-01,  0.0000000e+00, -1.0847457e-02
2.1437028e-01,  0.0000000e+00,  2.7580410e-02
2.9947447e-01,  1.0842022e-19,  1.2288255e-02
2.4424258e-01,  0.0000000e+00, -2.9621042e-02
1.9744253e-01,  0.0000000e+00, -5.2563282e-03
2.2381002e-01,  0.0000000e+00,  2.9295081e-02
3.0511110e-01, -1.0842022e-19,  2.1730873e-03
2.2860382e-01,  0.0000000e+00, -2.9505045e-02
1.9771585e-01,  0.0000000e+00,  2.8461345e-03
2.3973760e-01,  0.0000000e+00,  2.9632595e-02
3.0154748e-01,  1.0842022e-19, -9.8725317e-03
2.1654160e-01,  0.0000000e+00, -2.8209768e-02
1.9750711e-01,  0.0000000e+00,  9.3976439e-03
2.5267276e-01,  5.4210109e-20,  2.9037824e-02
2.9369382e-01,  1.0842022e-19, -1.6267079e-02
2.1057168e-01,  0.0000000e+00, -2.5211828e-02
2.0000153e-01,  0.0000000e+00,  1.4344545e-02
2.6558700e-01,  0.0000000e+00,  2.6355695e-02
2.8004100e-01,  0.0000000e+00, -2.1688392e-02
2.0494756e-01,  0.0000000e+00, -1.9350310e-02
2.0617404e-01,  0.0000000e+00,  2.0602125e-02
2.8325251e-01,  0.0000000e+00,  2.0525232e-02
2.6266392e-01,  0.0000000e+00, -2.7103298e-02
1.9924808e-01,  0.0000000e+00, -1.3309944e-02
2.1161513e-01,  0.0000000e+00,  2.5983851e-02
2.9551522e-01,  0.0000000e+00,  1.5202042e-02
2.5029908e-01,  2.7105054e-20, -2.9256330e-02
1.9743302e-01, -1.0842022e-19, -8.2629438e-03
2.1842880e-01,  1.0842022e-19,  2.8588796e-02
3.0291268e-01,  0.0000000e+00,  7.7780906e-03
2.3626126e-01,  0.0000000e+00, -2.9591591e-02
1.9787956e-01,  5.4210109e-20, -1.0012572e-03
2.3233285e-01,  0.0000000e+00,  2.9555016e-02
3.0425352e-01,  1.0842022e-19, -5.0934011e-03
2.2092812e-01,  0.0000000e+00, -2.8992722e-02
1.9738185e-01,  0.0000000e+00,  6.8158775e-03
2.4731407e-01, -1.6940659e-21,  2.9485581e-02
2.9763780e-01, -1.0842022e-19, -1.3803872e-02
2.1295928e-01,  0.0000000e+00, -2.6878251e-02
