x, y, z
2.1436973e-01, -1.0842022e-19,  2.7580900e-02
2.9947394e-01,  0.0000000e+00,  1.2289372e-02
2.4424532e-01,  0.0000000e+00, -2.9621429e-02
1.9744143e-01,  0.0000000e+00, -5.2580671e-03
2.2380608e-01,  0.0000000e+00,  2.9295172e-02
3.0511131e-01,  2.7105054e-20,  2.1771754e-03
2.2860904e-01, -2.7105054e-20, -2.9505499e-02
1.9771608e-01, -1.0842022e-19,  2.8433057e-03
2.3973202e-01, -6.7762636e-21,  2.9632925e-02
3.0155096e-01,  5.4210109e-20, -9.8690112e-03
2.1654493e-01, -2.7105054e-20, -2.8211243e-02
1.9750579e-01,  0.0000000e+00,  9.3949290e-03
2.5266585e-01,  1.0842022e-19,  2.9039206e-02
2.9370167e-01,  0.0000000e+00, -1.6263762e-02
2.1057517e-01,  0.0000000e+00, -2.5215749e-02
1.9999754e-01, -6.7762636e-21,  1.4340019e-02
2.6557294e-01,  1.0842022e-19,  2.6359984e-02
2.8005720e-01,  0.0000000e+00, -2.1682894e-02
2.0495341e-01,  0.0000000e+00, -1.9356970e-02
2.0616694e-01, -5.4210109e-20,  2.0595897e-02
2.8323563e-01,  0.0000000e+00,  2.0531775e-02
2.6267959e-01,  0.0000000e+00, -2.7099898e-02
1.9925181e-01, -1.0842022e-19, -1.3316214e-02
2.1160761e-01, -1.0842022e-19,  2.5979798e-02
2.9550393e-01,  0.0000000e+00,  1.5210085e-02
2.5031691e-01,  1.0842022e-19, -2.9255513e-02
1.9743264e-01,  0.0000000e+00, -8.2723156e-03
2.1841151e-01,  5.4210109e-20,  2.8586455e-02
3.0290195e-01,  0.0000000e+00,  7.7970515e-03
2.3629100e-01,  0.0000000e+00, -2.9592434e-02
1.9787854e-01,  0.0000000e+00, -1.0173439e-03
2.3230002e-01,  0.0000000e+00,  2.9555174e-02
3.0426368e-01,  0.0000000e+00, -5.0690358e-03
2.2095179e-01,  0.0000000e+00, -2.8996513e-02
1.9738104e-01,  1.0842022e-19,  6.8020975e-03
2.4728432e-01,  0.0000000e+00,  2.9488084e-02
2.9765969e-01,  1.3552527e-20, -1.3789678e-02
2.1297296e-01, -1.0842022e-19, -2.6887571e-02
1.9837841e-01,  0.0000000e+00,  1.2011684e-02
2.5901029e-01,  0.0000000e+00,  2.7978719e-02
2.8741741e-01,  0.0000000e+00, -1.9011976e-02
2.0775817e-01,  0.0000000e+00, -2.2392759e-02
2.0302526e-01, -3.3881318e-21,  1.7541009e-02
2.7494884e-01,  0.0000000e+00,  2.3491199e-02
2.7042797e-01, -1.3552527e-20, -2.4969688e-02
2.0144568e-01,  0.0000000e+00, -1.6012546e-02
2.0903677e-01, -1.0842022e-19,  2.3823573e-02
2.9055591e-01,  5.4210109e-20,  1.7783469e-02
2.5614348e-01,  1.0842022e-19, -2.8565834e-02
1.9782877e-01, -2.7105054e-20, -1.0926889e-02
2.1426398e-01,  1.0842022e-19,  2.7539051e-02
2.9935287e-01,  0.0000000e+00,  1.2404837e-02
2.4447322e-01,  0.0000000e+00, -2.9616046e-02
1.9743129e-01, -1.0842022e-19, -5.3774860e-03
2.2357710e-01, -1.0842022e-19,  2.9277649e-02
3.0507029e-01, -1.0842022e-19,  2.4015846e-03
2.2887887e-01,  0.0000000e+00, -2.9511293e-02
1.9773044e-01, -5.4210109e-20,  2.7100306e-03
2.3948317e-01,  0.0000000e+00,  2.9630608e-02
3.0165380e-01,  5.4210109e-20, -9.7267189e-03
2.1667265e-01, -1.0842022e-19, -2.8239871e-02
1.9749819e-01,  0.0000000e+00,  9.3162638e-03
2.5249815e-01, -5.4210109e-20,  2.9056430e-02
2.9383574e-01,  0.0000000e+00, -1.6189687e-02
2.1064851e-01, -1.0842022e-19, -2.5273229e-02
1.9994054e-01,  0.0000000e+00,  1.4265538e-02
2.6536154e-01, -3.3881318e-21,  2.6415896e-02
2.8028598e-01,  0.0000000e+00, -2.1600212e-02
