x, y, z
2.1644521e-01,  0.0000000e+00, -2.8186291e-02
1.9751547e-01,  2.7105054e-20,  9.4586927e-03
2.5280596e-01,  0.0000000e+00,  2.9022613e-02
2.9358248e-01,  0.0000000e+00, -1.6326150e-02
2.1051287e-01,  1.0842022e-19, -2.5162849e-02
2.0005208e-01,  0.0000000e+00,  1.4406460e-02
2.6576603e-01,  1.0842022e-19,  2.6307073e-02
2.7984485e-01,  0.0000000e+00, -2.1758106e-02
2.0487402e-01,  1.3552527e-20, -1.9276544e-02
2.0624388e-01,  2.7105054e-20,  2.0675057e-02
2.8343286e-01, -5.4210109e-20,  2.0458717e-02
2.6249962e-01, -2.7105054e-20, -2.7142786e-02
1.9920978e-01, -1.0842022e-19, -1.3250542e-02
2.1167856e-01, -1.0842022e-19,  2.6025621e-02
2.9561771e-01,  2.1684043e-19,  1.5136484e-02
2.5015529e-01,  0.0000000e+00, -2.9266974e-02
1.9743262e-01,  0.0000000e+00, -8.1918764e-03
2.1855159e-01,  0.0000000e+00,  2.8609484e-02
3.0298819e-01,  0.0000000e+00,  7.6427728e-03
2.3604955e-01,  0.0000000e+00, -2.9588085e-02
1.9788699e-01,  0.0000000e+00, -8.8978639e-04
2.3255829e-01,  0.0000000e+00,  2.9555860e-02
3.0418261e-01,  0.0000000e+00, -5.2578018e-03
2.2077156e-01,  0.0000000e+00, -2.8969514e-02
1.9738512e-01,  0.0000000e+00,  6.9058140e-03
2.4749979e-01,  0.0000000e+00,  2.9472062e-02
2.9750983e-01, -1.0842022e-19, -1.3893318e-02
2.1287388e-01,  1.0842022e-19, -2.6823943e-02
1.9843998e-01,  1.0842022e-19,  1.2105748e-02
2.5927574e-01, -5.4210109e-20,  2.7916722e-02
2.8710990e-01,  0.0000000e+00, -1.9124208e-02
2.0764046e-01,  5.4210109e-20, -2.2253901e-02
2.0317931e-01,  0.0000000e+00,  1.7683062e-02
2.7536596e-01,  1.0842022e-19,  2.3346993e-02
2.7002020e-01,  5.4210109e-20, -2.5093847e-02
2.0131467e-01,  0.0000000e+00, -1.5873803e-02
2.0915846e-01,  0.0000000e+00,  2.3945886e-02
2.9082723e-01,  0.0000000e+00,  1.7665564e-02
2.5587104e-01,  0.0000000e+00, -2.8611380e-02
1.9779153e-01,  0.0000000e+00, -1.0814355e-02
2.1441691e-01,  0.0000000e+00,  2.7596617e-02
2.9952445e-01,  1.0842022e-19,  1.2236957e-02
2.4414165e-01,  0.0000000e+00, -2.9622298e-02
1.9744894e-01, -1.3552527e-20, -5.2021235e-03
2.2391612e-01,  0.0000000e+00,  2.9302027e-02
3.0512735e-01,  0.0000000e+00,  2.0696529e-03
2.2848044e-01,  0.0000000e+00, -2.9501500e-02
1.9771018e-01,  0.0000000e+00,  2.9079626e-03
2.3985488e-01, -1.0842022e-19,  2.9632788e-02
3.0149643e-01, -1.0842022e-19, -9.9391898e-03
2.1648174e-01,  0.0000000e+00, -2.8194591e-02
1.9751354e-01,  0.0000000e+00,  9.4361342e-03
2.5275838e-01,  0.0000000e+00,  2.9027625e-02
2.9362084e-01, -5.4210109e-20, -1.6304942e-02
2.1053372e-01, -1.0842022e-19, -2.5179491e-02
2.0003545e-01,  1.0842022e-19,  1.4385044e-02
2.6570555e-01,  0.0000000e+00,  2.6323222e-02
2.7991063e-01,  0.0000000e+00, -2.1734411e-02
2.0489933e-01,  0.0000000e+00, -1.9300856e-02
2.0622156e-01,  6.7762636e-21,  2.0650691e-02
2.8337375e-01,  0.0000000e+00,  2.0480180e-02
2.6255244e-01,  0.0000000e+00, -2.7129659e-02
1.9922244e-01,  0.0000000e+00, -1.3269294e-02
2.1165905e-01,  0.0000000e+00,  2.6012129e-02
2.9558499e-01,  0.0000000e+00,  1.5156267e-02
2.5019817e-01,  0.0000000e+00, -2.9263350e-02
1.9743341e-01,  0.0000000e+00, -8.2127191e-03
2.1851635e-01,  5.4210109e-20,  2.8603103e-02
3.0296617e-01,  0.0000000e+00,  7.6815279e-03
