x, y, z
1.9751291e-01,  0.0000000e+00,  9.4579435e-03
2.5280110e-01, -5.4210109e-20,  2.9024525e-02
2.9359106e-01, -1.6940659e-21, -1.6323756e-02
2.1051591e-01,  0.0000000e+00, -2.5167624e-02
2.0004550e-01,  0.0000000e+00,  1.4401595e-02
2.6574899e-01,  0.0000000e+00,  2.6312788e-02
2.7986626e-01,  0.0000000e+00, -2.1751504e-02
2.0488070e-01,  0.0000000e+00, -1.9285445e-02
2.0623398e-01, -5.4210109e-20,  2.0667081e-02
2.8341093e-01,  5.4210109e-20,  2.0467917e-02
2.6252221e-01,  2.7105054e-20, -2.7138476e-02
1.9921319e-01,  0.0000000e+00, -1.3259934e-02
2.1166670e-01,  8.4703295e-22,  2.6019992e-02
2.9560108e-01,  0.0000000e+00,  1.5149427e-02
2.5018405e-01,  0.0000000e+00, -2.9266087e-02
1.9743047e-01, -2.7105054e-20, -8.2075177e-03
2.1852259e-01,  1.0842022e-19,  2.8605874e-02
3.0297192e-01,  5.4210109e-20,  7.6750889e-03
2.3610043e-01,  0.0000000e+00, -2.9589710e-02
1.9788426e-01,  1.0842022e-19, -9.1724502e-04
2.3250115e-01,  0.0000000e+00,  2.9556404e-02
3.0420213e-01,  5.4210109e-20, -5.2162160e-03
2.2081121e-01,  2.7105054e-20, -2.8976493e-02
1.9738302e-01,  1.0842022e-19,  6.8819327e-03
2.4744847e-01, -1.0842022e-19,  2.9476809e-02
2.9754842e-01, -1.0842022e-19, -1.3868358e-02
2.1289847e-01,  0.0000000e+00, -2.6841174e-02
1.9842238e-01,  0.0000000e+00,  1.2081291e-02
2.5920452e-01,  0.0000000e+00,  2.7934168e-02
2.8719457e-01,  0.0000000e+00, -1.9094055e-02
2.0767210e-01, -1.0842022e-19, -2.2292605e-02
2.0313607e-01,  1.0842022e-19,  1.7643932e-02
2.7524988e-01,  0.0000000e+00,  2.3387663e-02
2.7013456e-01,  0.0000000e+00, -2.5059699e-02
2.0135031e-01, -2.7105054e-20, -1.5913215e-02
2.0912271e-01,  0.0000000e+00,  2.3911757e-02
2.9075022e-01,  0.0000000e+00,  1.7700147e-02
2.5595119e-01, -2.7105054e-20, -2.8598882e-02
1.9780087e-01, -5.4210109e-20, -1.0848394e-02
2.1436949e-01,  0.0000000e+00,  2.7579926e-02
2.9947245e-01,  5.4210109e-20,  1.2289783e-02
2.4424584e-01,  2.7105054e-20, -2.9621023e-02
1.9744202e-01,  0.0000000e+00, -5.2579848e-03
2.2380678e-01, -5.4210109e-20,  2.9294893e-02
3.0511063e-01,  0.0000000e+00,  2.1762817e-03
2.2860777e-01,  0.0000000e+00, -2.9505173e-02
1.9771644e-01,  0.0000000e+00,  2.8441852e-03
2.3973416e-01,  0.0000000e+00,  2.9632599e-02
3.0154891e-01,  0.0000000e+00, -9.8704097e-03
2.1654339e-01,  0.0000000e+00, -2.8210301e-02
1.9750681e-01,  0.0000000e+00,  9.3963730e-03
2.5267035e-01,  0.0000000e+00,  2.9038188e-02
2.9369627e-01,  5.4210109e-20, -1.6265787e-02
2.1057324e-01,  1.0842022e-19, -2.5212985e-02
2.0000065e-01,  0.0000000e+00,  1.4343073e-02
2.6558302e-01,  0.0000000e+00,  2.6356883e-02
2.8004538e-01,  0.0000000e+00, -2.1686729e-02
2.0494930e-01,  0.0000000e+00, -1.9352172e-02
2.0617197e-01, -5.4210109e-20,  2.0600357e-02
2.8324760e-01,  1.0842022e-19,  2.0526965e-02
2.6266771e-01,  1.0842022e-19, -2.7102332e-02
1.9924957e-01, -6.7762636e-21, -1.3311478e-02
2.1161360e-01,  0.0000000e+00,  2.5982741e-02
2.9551214e-01,  0.0000000e+00,  1.5203889e-02
2.5030317e-01,  0.0000000e+00, -2.9256069e-02
1.9743322e-01,  0.0000000e+00, -8.2649893e-03
2.1842491e-01,  5.4210109e-20,  2.8588249e-02
3.0290966e-01,  0.0000000e+00,  7.7821145e-03
2.3626755e-01, -1.0842022e-19, -2.9591732e-02
1.9787987e-01,  6.7762636e-21, -1.0046158e-03
2.3232655e-01,  0.0000000e+00,  2.9554985e-02
