x, y, z
2.0000369e-01,  0.0000000e+00,  1.4347410e-02
2.6559459e-01,  0.0000000e+00,  2.6353972e-02
2.8003311e-01,  0.0000000e+00, -2.1691358e-02
2.0494466e-01,  0.0000000e+00, -1.9347735e-02
2.0617601e-01,  0.0000000e+00,  2.0604887e-02
2.8325828e-01,  1.0842022e-19,  2.0523299e-02
2.6265860e-01, -5.4210109e-20, -2.7104809e-02
1.9924674e-01,  1.0842022e-19, -1.3308522e-02
2.1161594e-01,  0.0000000e+00,  2.5985135e-02
2.9551738e-01, -2.7105054e-20,  1.5201262e-02
2.5029736e-01,  0.0000000e+00, -2.9256819e-02
1.9743303e-01,  1.0842022e-19, -8.2625369e-03
2.1842878e-01,  0.0000000e+00,  2.8589184e-02
3.0291249e-01,  0.0000000e+00,  7.7781325e-03
2.3626118e-01,  0.0000000e+00, -2.9591841e-02
1.9787941e-01,  0.0000000e+00, -1.0015637e-03
2.3233196e-01,  0.0000000e+00,  2.9555224e-02
3.0425364e-01,  0.0000000e+00, -5.0925878e-03
2.2092908e-01,  0.0000000e+00, -2.8993128e-02
1.9738138e-01,  0.0000000e+00,  6.8151091e-03
2.4731139e-01,  0.0000000e+00,  2.9486038e-02
2.9764079e-01, -6.7762636e-21, -1.3802743e-02
2.1296032e-01, -1.0842022e-19, -2.6879518e-02
1.9838624e-01,  0.0000000e+00,  1.2023605e-02
2.5904400e-01,  0.0000000e+00,  2.7970833e-02
2.8737823e-01,  1.0842022e-19, -1.9026258e-02
2.0774298e-01,  0.0000000e+00, -2.2375017e-02
2.0304483e-01,  0.0000000e+00,  1.7559217e-02
2.7500242e-01,  0.0000000e+00,  2.3472700e-02
2.7037539e-01,  0.0000000e+00, -2.4985742e-02
2.0142903e-01,  0.0000000e+00, -1.5994625e-02
2.0905252e-01,  5.4210109e-20,  2.3839395e-02
2.9059110e-01,  0.0000000e+00,  1.7768275e-02
2.5610833e-01,  0.0000000e+00, -2.8571762e-02
1.9782416e-01,  1.3552527e-20, -1.0912391e-02
2.1428347e-01,  0.0000000e+00,  2.7546514e-02
2.9937496e-01,  5.4210109e-20,  1.2383351e-02
2.4443051e-01,  0.0000000e+00, -2.9616884e-02
1.9743351e-01,  5.4210109e-20, -5.3549781e-03
2.2362043e-01, -1.0842022e-19,  2.9280853e-02
3.0507847e-01,  0.0000000e+00,  2.3588509e-03
2.2882712e-01,  0.0000000e+00, -2.9510049e-02
1.9772823e-01,  1.3552527e-20,  2.7356920e-03
2.3953133e-01, -1.0842022e-19,  2.9630882e-02
3.0163337e-01,  0.0000000e+00, -9.7544783e-03
2.1664752e-01, -1.0842022e-19, -2.8233972e-02
1.9750056e-01,  1.3552527e-20,  9.3319343e-03
2.5253221e-01,  1.0842022e-19,  2.9052638e-02
2.9380754e-01,  5.4210109e-20, -1.6204822e-02
2.1063336e-01,  0.0000000e+00, -2.5260898e-02
1.9995308e-01,  0.0000000e+00,  1.4281282e-02
2.6540699e-01,  0.0000000e+00,  2.6403655e-02
2.8023616e-01,  0.0000000e+00, -2.1617965e-02
2.0502229e-01,  2.7105054e-20, -1.9423767e-02
2.0610483e-01,  0.0000000e+00,  2.0528925e-02
2.8307140e-01,  1.0842022e-19,  2.0590997e-02
2.6282603e-01, -1.0842022e-19, -2.7063262e-02
1.9928815e-01,  0.0000000e+00, -1.3367840e-02
2.1155501e-01,  0.0000000e+00,  2.5942217e-02
2.9541541e-01,  0.0000000e+00,  1.5263971e-02
2.5043508e-01,  0.0000000e+00, -2.9245270e-02
1.9743597e-01, -1.0842022e-19, -8.3289741e-03
2.1831636e-01, -1.0842022e-19,  2.8568688e-02
3.0283985e-01, -5.4210109e-20,  7.9020532e-03
2.3645626e-01,  0.0000000e+00, -2.9594274e-02
1.9787379e-01,  0.0000000e+00, -1.1036115e-03
2.3212684e-01,  0.0000000e+00,  2.9553632e-02
3.0431442e-01, -5.4210109e-20, -4.9419732e-03
2.2107289e-01,  0.0000000e+00, -2.9012825e-02
1.9738068e-01,  1.0842022e-19,  6.7339604e-03
2.4714682e-01, -1.3552527e-20,  2.9496666e-02
2.9775002e-01, -5.4210109e-20, -1.3723355e-02
