x, y, z
2.1852352e-01,  0.0000000e+00,  2.8606121e-02
3.0297246e-01,  1.0842022e-19,  7.6744046e-03
2.3609887e-01, -5.4210109e-20, -2.9589822e-02
1.9788390e-01,  0.0000000e+00, -9.1680244e-04
2.3250179e-01,  0.0000000e+00,  2.9556505e-02
3.0420229e-01, -1.0842022e-19, -5.2167040e-03
2.2081069e-01,  0.0000000e+00, -2.8976578e-02
1.9738237e-01,  0.0000000e+00,  6.8820797e-03
2.4744804e-01,  0.0000000e+00,  2.9476953e-02
2.9754824e-01, -5.4210109e-20, -1.3868338e-02
2.1289795e-01,  0.0000000e+00, -2.6841519e-02
1.9842216e-01,  0.0000000e+00,  1.2081010e-02
2.5920351e-01, -1.0842022e-19,  2.7934522e-02
2.8719651e-01, -1.3552527e-20, -1.9093579e-02
2.0767285e-01,  0.0000000e+00, -2.2293351e-02
2.0313460e-01,  0.0000000e+00,  1.7643252e-02
2.7524771e-01,  0.0000000e+00,  2.3388529e-02
2.7013689e-01, -1.0842022e-19, -2.5059030e-02
2.0135086e-01,  0.0000000e+00, -1.5914125e-02
2.0912220e-01,  0.0000000e+00,  2.3910998e-02
2.9074859e-01,  0.0000000e+00,  1.7701039e-02
2.5595320e-01,  0.0000000e+00, -2.8598637e-02
1.9780115e-01,  1.0842022e-19, -1.0849364e-02
2.1436735e-01, -5.4210109e-20,  2.7579567e-02
2.9947149e-01,  0.0000000e+00,  1.2291486e-02
2.4424899e-01,  0.0000000e+00, -2.9621045e-02
1.9744203e-01,  0.0000000e+00, -5.2598565e-03
2.2380307e-01,  0.0000000e+00,  2.9294693e-02
3.0511002e-01, -1.0842022e-19,  2.1799961e-03
2.2861218e-01,  0.0000000e+00, -2.9505346e-02
1.9771611e-01, -5.4210109e-20,  2.8419182e-03
2.3972947e-01,  0.0000000e+00,  2.9632657e-02
3.0155126e-01,  1.0842022e-19, -9.8678750e-03
2.1654580e-01,  0.0000000e+00, -2.8210964e-02
1.9750651e-01,  1.0842022e-19,  9.3948106e-03
2.5266622e-01, -5.4210109e-20,  2.9038714e-02
2.9369968e-01, -1.0842022e-19, -1.6264157e-02
2.1057462e-01,  0.0000000e+00, -2.5214550e-02
1.9999867e-01,  0.0000000e+00,  1.4341226e-02
2.6557709e-01,  0.0000000e+00,  2.6358500e-02
2.8005214e-01,  0.0000000e+00, -2.1684531e-02
2.0495169e-01, -1.0842022e-19, -1.9354617e-02
2.0616987e-01,  0.0000000e+00,  2.0597948e-02
2.8324196e-01, -1.3552527e-20,  2.0529259e-02
2.6267379e-01,  6.7762636e-21, -2.7101025e-02
1.9925023e-01, -5.4210109e-20, -1.3313670e-02
2.1161089e-01,  5.4210109e-20,  2.5981335e-02
2.9550873e-01, -1.0842022e-19,  1.5206432e-02
2.5030875e-01,  2.7105054e-20, -2.9255740e-02
1.9743286e-01,  0.0000000e+00, -8.2678803e-03
2.1842003e-01,  0.0000000e+00,  2.8587448e-02
3.0290727e-01,  0.0000000e+00,  7.7877770e-03
2.3627646e-01,  0.0000000e+00, -2.9591937e-02
1.9787890e-01,  0.0000000e+00, -1.0093775e-03
2.3231627e-01, -5.4210109e-20,  2.9555038e-02
3.0425871e-01, -1.0842022e-19, -5.0812295e-03
2.2093975e-01,  0.0000000e+00, -2.8994531e-02
1.9738138e-01, -5.4210109e-20,  6.8091105e-03
2.4729986e-01,  0.0000000e+00,  2.9486703e-02
2.9764780e-01,  0.0000000e+00, -1.3797014e-02
2.1296581e-01,  0.0000000e+00, -2.6882594e-02
1.9838388e-01,  0.0000000e+00,  1.2018777e-02
2.5903133e-01,  0.0000000e+00,  2.7973673e-02
2.8739272e-01, -5.4210109e-20, -1.9020770e-02
2.0774876e-01,  0.0000000e+00, -2.2381484e-02
2.0303737e-01, -5.4210109e-20,  1.7552510e-02
2.7498310e-01,  0.0000000e+00,  2.3479306e-02
2.7039397e-01,  0.0000000e+00, -2.4979862e-02
2.0143481e-01,  0.0000000e+00, -1.6000960e-02
2.0904771e-01,  0.0000000e+00,  2.3833655e-02
2.9057946e-01, -1.0842022e-19,  1.7773372e-02
2.5612049e-01,  0.0000000e+00, -2.8569587e-02
1.9782574e-01, -1.0842022e-19, -1.0917074e-02
2.1427771e-01, -2.7105054e-20,  2.7543949e-02
2.9936866e-01,  0.0000000e+00,  1.2389832e-02
2.4444333e-01, -5.4210109e-20, -2.9616497e-02
1.9743364e-01, -6.7762636e-21, -5.3615821e-03
2.2360767e-01,  0.0000000e+00,  2.9279821e-02
3.0507486e-01,  0.0000000e+00,  2.3711624e-03
2.2884184e-01,  0.0000000e+00, -2.9510308e-02
1.9772890e-01,  0.0000000e+00,  2.7284304e-03
2.3951783e-01,  0.0000000e+00,  2.9630688e-02
3.0163930e-01,  1.0842022e-19, -9.7467774e-03
2.1665406e-01,  0.0000000e+00, -2.8235424e-02
1.9750003e-01,  0.0000000e+00,  9.3278309e-03
2.5252416e-01,  0.0000000e+00,  2.9053386e-02
2.9381465e-01,  0.0000000e+00, -1.6201053e-02
2.1063719e-01,  0.0000000e+00, -2.5263557e-02
1.9995005e-01,  0.0000000e+00,  1.4277746e-02
2.6539660e-01, -1.0842022e-19,  2.6406203e-02
2.8024671e-01,  0.0000000e+00, -2.1614091e-02
2.0502648e-01,  0.0000000e+00, -1.9427628e-02
2.0610175e-01,  1.0842022e-19,  2.0524942e-02
2.8306177e-01,  0.0000000e+00,  2.0594355e-02
2.6283411e-01,  0.0000000e+00, -2.7061111e-02
1.9929018e-01,  0.0000000e+00, -1.3370700e-02
2.1155252e-01,  0.0000000e+00,  2.5940042e-02
2.9541105e-01,  0.0000000e+00,  1.5266744e-02
2.5044128e-01, -1.0842022e-19, -2.9244638e-02
1.9743573e-01,  0.0000000e+00, -8.3318136e-03
2.1831126e-01,  0.0000000e+00,  2.8567790e-02
3.0283754e-01,  0.0000000e+00,  7.9070489e-03
2.3646458e-01,  0.0000000e+00, -2.9594273e-02
1.9787321e-01,  0.0000000e+00, -1.1076664e-03
2.3211913e-01,  0.0000000e+00,  2.9553474e-02
3.0431756e-01,  0.0000000e+00, -4.9360752e-03
2.2107893e-01, -1.3552527e-20, -2.9013458e-02
1.9738055e-01,  0.0000000e+00,  6.7308980e-03
2.4714048e-01,  0.0000000e+00,  2.9496973e-02
2.9775422e-01,  1.0842022e-19, -1.3720454e-02
2.1303856e-01,  0.0000000e+00, -2.6926104e-02
1.9834354e-01,  0.0000000e+00,  1.1952407e-02
2.5884751e-01,  0.0000000e+00,  2.8015087e-02
2.8760160e-01,  0.0000000e+00, -1.8943132e-02
2.0782976e-01, -1.0842022e-19, -2.2475489e-02
2.0293354e-01,  0.0000000e+00,  1.7455433e-02
2.7469925e-01,  0.0000000e+00,  2.3576315e-02
2.7067077e-01, -1.0842022e-19, -2.4894005e-02
2.0152603e-01,  0.0000000e+00, -1.6094382e-02
2.0896760e-01,  0.0000000e+00,  2.3749965e-02
2.9039565e-01, -2.7105054e-20,  1.7850724e-02
2.5629879e-01,  0.0000000e+00, -2.8537840e-02
