x, y, z
2.4744811e-01,  0.0000000e+00,  2.9477326e-02
2.9755005e-01,  0.0000000e+00, -1.3868112e-02
2.1289882e-01,  1.0842022e-19, -2.6842357e-02
1.9842076e-01,  0.0000000e+00,  1.2080116e-02
2.5919997e-01,  0.0000000e+00,  2.7935643e-02
2.8720108e-01,  0.0000000e+00, -1.9092093e-02
2.0767423e-01,  0.0000000e+00, -2.2295824e-02
2.0313212e-01, -1.0842022e-19,  1.7640896e-02
2.7524025e-01,  0.0000000e+00,  2.3391283e-02
2.7014469e-01,  0.0000000e+00, -2.5056921e-02
2.0135318e-01, -2.7105054e-20, -1.5916911e-02
2.0911895e-01,  5.4210109e-20,  2.3908758e-02
2.9074298e-01,  0.0000000e+00,  1.7703827e-02
2.5595988e-01, -2.7105054e-20, -2.8597843e-02
1.9780140e-01,  0.0000000e+00, -1.0852401e-02
2.1436323e-01,  0.0000000e+00,  2.7578214e-02
2.9946626e-01,  0.0000000e+00,  1.2296715e-02
2.4425963e-01,  0.0000000e+00, -2.9621085e-02
1.9744077e-01,  0.0000000e+00, -5.2656269e-03
2.2379153e-01, -5.4210109e-20,  2.9294079e-02
3.0510872e-01,  0.0000000e+00,  2.1913202e-03
2.2862586e-01,  0.0000000e+00, -2.9505860e-02
1.9771697e-01,  0.0000000e+00,  2.8349661e-03
2.3971633e-01,  1.3552527e-20,  2.9632769e-02
3.0155730e-01,  0.0000000e+00, -9.8601735e-03
2.1655269e-01,  0.0000000e+00, -2.8213003e-02
1.9750531e-01,  0.0000000e+00,  9.3900839e-03
2.5265572e-01,  0.0000000e+00,  2.9040228e-02
2.9370972e-01,  0.0000000e+00, -1.6259233e-02
2.1057985e-01, -1.0842022e-19, -2.5219184e-02
1.9999391e-01,  2.7105054e-20,  1.4335542e-02
2.6556029e-01,  0.0000000e+00,  2.6363314e-02
2.8007088e-01,  1.0842022e-19, -2.1677936e-02
2.0495858e-01,  0.0000000e+00, -1.9362047e-02
2.0616225e-01, -5.4210109e-20,  2.0590815e-02
2.8322321e-01,  0.0000000e+00,  2.0536247e-02
2.6269059e-01,  0.0000000e+00, -2.7097126e-02
1.9925457e-01,  0.0000000e+00, -1.3320097e-02
2.1160381e-01,  1.0842022e-19,  2.5976945e-02
2.9549728e-01, -5.4210109e-20,  1.5214104e-02
2.5032574e-01, -1.0842022e-19, -2.9254735e-02
1.9743277e-01,  0.0000000e+00, -8.2765258e-03
2.1840442e-01,  0.0000000e+00,  2.8585135e-02
3.0289732e-01,  0.0000000e+00,  7.8048021e-03
2.3630326e-01, -1.0842022e-19, -2.9592553e-02
1.9787807e-01,  1.3552527e-20, -1.0236763e-03
2.3228747e-01, -1.0842022e-19,  2.9555046e-02
3.0426732e-01,  0.0000000e+00, -5.0597597e-03
2.2096080e-01,  0.0000000e+00, -2.8997684e-02
1.9738126e-01,  0.0000000e+00,  6.7971261e-03
2.4727431e-01,  0.0000000e+00,  2.9488697e-02
2.9766611e-01,  0.0000000e+00, -1.3784871e-02
2.1297771e-01, -1.0842022e-19, -2.6890235e-02
1.9837606e-01,  0.0000000e+00,  1.2007559e-02
